,id,type,volume,source
2017-01-01,56227,C,4,L
2017-01-01,1023130341,C,3,P
2017-01-01,1487611240,M,1,P
2017-01-01,1477817971,M,3,P
2017-01-01,1023149697,C,4,P
2017-01-01,1477650299,M,2,P
2017-01-01,1477625465,M,1,P
2017-01-01,1477557122,M,1,P
2017-01-01,1477525624,M,4,P
2017-01-01,1467670984,M,1,P
2017-01-01,1023205531,C,1,P
2017-01-01,1487805784,M,1,P
2017-01-01,1467667360,M,14,P
2017-01-01,1467617902,M,1,P
2017-01-01,1467574186,M,1,P
2017-01-01,1457632580,M,2,P
2017-01-01,1023206810,C,3,P
2017-01-01,1457453599,M,4,P
2017-01-01,1457390353,M,4,P
2017-01-01,1457334914,M,1,P
2017-01-01,1447243068,M,1,P
2017-01-01,1437460532,M,1,P
2017-01-01,1437446820,M,1,P
2017-01-01,1467659318,M,1,P
2017-01-01,1487813010,M,3,P
2017-01-01,1487871786,M,1,P
2017-01-01,1487932398,M,2,P
2017-01-01,1548266844,M,1,P
2017-01-01,1538366943,M,3,P
2017-01-01,1538329578,M,1,P
2017-01-01,1538189543,M,2,P
2017-01-01,1023003761,C,1,P
2017-01-01,1528320975,M,1,P
2017-01-01,1528090248,M,1,P
2017-01-01,1528059227,M,2,P
2017-01-01,1023025434,C,2,P
2017-01-01,1528001542,M,1,P
2017-01-01,1518981695,M,2,P
2017-01-01,1518949080,M,1,P
2017-01-01,1518920966,M,1,P
2017-01-01,1023034261,C,1,P
2017-01-01,1518183532,M,3,P
2017-01-01,1518115526,M,11,P
2017-01-01,1518042415,M,1,P
2017-01-01,1518038363,M,2,P
2017-01-01,1023055761,C,4,P
2017-01-01,1508174376,M,1,P
2017-01-01,1508157256,M,5,P
2017-01-01,1508064460,M,1,P
2017-01-01,1497080055,M,1,P
2017-01-01,1023275633,C,1,P
2017-01-01,1548402084,M,5,P
2017-01-01,1437199965,M,1,P
2017-01-01,1033142351,C,5,P
2017-01-01,1376633149,M,2,P
2017-01-01,1376578377,M,3,P
2017-01-01,1376552745,M,3,P
2017-01-01,1043258270,C,4,P
2017-01-01,1376521617,M,2,P
2017-01-01,1366539447,M,1,P
2017-01-01,1043355688,C,10,P
2017-01-01,1356652176,M,2,P
2017-01-01,1356384200,M,3,P
2017-01-01,1356371157,M,3,P
2017-01-01,1043215676,C,3,P
2017-01-01,1356367312,M,2,P
2017-01-01,1356332506,M,2,P
2017-01-01,1356314686,M,1,P
2017-01-01,1346458254,M,1,P
2017-01-01,1043385685,C,14,P
2017-01-01,1346405040,M,1,P
2017-01-01,1346293784,M,1,P
2017-01-01,1346247251,M,1,P
2017-01-01,1043560691,C,1,P
2017-01-01,1336466622,M,1,P
2017-01-01,1336438522,M,1,P
2017-01-01,1356337430,M,3,P
2017-01-01,1376709543,M,1,P
2017-01-01,1376779413,M,2,P
2017-01-01,1376868331,M,2,P
2017-01-01,1427025147,M,1,P
2017-01-01,1427023217,M,2,P
2017-01-01,1417980707,M,1,P
2017-01-01,1033182019,C,1,P
2017-01-01,1417923095,M,1,P
2017-01-01,1417199670,M,1,P
2017-01-01,1417165739,M,1,P
2017-01-01,1033192570,C,1,P
2017-01-01,1417084799,M,4,P
2017-01-01,1417010927,M,4,P
2017-01-01,1407877947,M,2,P
2017-01-01,1033303102,C,3,P
2017-01-01,1407845134,M,2,P
2017-01-01,1407829534,M,3,P
2017-01-01,1407812043,M,1,P
2017-01-01,1407060015,M,3,P
2017-01-01,1033521901,C,1,P
2017-01-01,1396856191,M,1,P
2017-01-01,1396776258,M,2,P
2017-01-01,1386979144,M,1,P
2017-01-01,1043203888,C,2,P
2017-01-01,1043204159,C,1,P
2017-01-01,1376869651,M,3,P
2017-01-01,1427255447,M,4,P
2017-01-01,1336379783,M,1,P
2017-01-01,1548431141,M,7,P
2017-01-01,1558574137,M,4,P
2017-01-01,1952344848,C,11,P
2017-01-01,1699765859,M,1,P
2017-01-01,1699745638,M,2,P
2017-01-01,1699744839,M,5,P
2017-01-01,1699738260,M,3,P
2017-01-01,1952398158,C,7,P
2017-01-01,1699065946,M,1,P
2017-01-01,1699020636,M,2,P
2017-01-01,1689868440,M,4,P
2017-01-01,1689779209,M,3,P
2017-01-01,1700049707,M,2,P
2017-01-01,1962453092,C,6,P
2017-01-01,1679559892,M,1,P
2017-01-01,1972564268,C,16,P
2017-01-01,1669765525,M,1,P
2017-01-01,1669583431,M,1,P
2017-01-01,1992759096,C,2,P
2017-01-01,1669572608,M,3,P
2017-01-01,1669495602,M,3,P
2017-01-01,1669481024,M,3,P
2017-01-01,1669422143,M,6,P
2017-01-01,1669416350,M,3,P
2017-01-01,1679689301,M,5,P
2017-01-01,1700880465,M,1,P
2017-01-01,1700946423,M,1,P
2017-01-01,1952331654,C,14,P
2017-01-01,1760415608,M,5,P
2017-01-01,1932100906,C,8,P
2017-01-01,1750601225,M,1,P
2017-01-01,1750593844,M,1,P
2017-01-01,1750426128,M,1,P
2017-01-01,1750372900,M,1,P
2017-01-01,1932184876,C,2,P
2017-01-01,1750341327,M,2,P
2017-01-01,1740449487,M,5,P
2017-01-01,1740235928,M,2,P
2017-01-01,1942258751,C,2,P
2017-01-01,1730477373,M,3,P
2017-01-01,1730110768,M,2,P
2017-01-01,1720372782,M,5,P
2017-01-01,1942293956,C,16,P
2017-01-01,1720076284,M,2,P
2017-01-01,1720056823,M,2,P
2017-01-01,1720025893,M,3,P
2017-01-01,1710912175,M,1,P
2017-01-01,1942418900,C,1,P
2017-01-01,1710905906,M,1,P
2017-01-01,1710132444,M,2,P
2017-01-01,1700949229,M,1,P
2017-01-01,1992993760,C,2,P
2017-01-01,1013905074,C,1,P
2017-01-01,1659483550,M,1,P
2017-01-01,1659458867,M,1,P
2017-01-01,1003893546,C,1,P
2017-01-01,1619170222,M,1,P
2017-01-01,1619154895,M,1,P
2017-01-01,1609863281,M,2,P
2017-01-01,1013094382,C,2,P
2017-01-01,1609043249,M,3,P
2017-01-01,1598973273,M,2,P
2017-01-01,1598922650,M,4,P
2017-01-01,1598911448,M,2,P
2017-01-01,1598765166,M,2,P
2017-01-01,1619904034,M,3,P
2017-01-01,1598752842,M,2,P
2017-01-01,1588906457,M,2,P
2017-01-01,1588828693,M,1,P
2017-01-01,1588814404,M,4,P
2017-01-01,1588758312,M,3,P
2017-01-01,1013154962,C,3,P
2017-01-01,1578798393,M,2,P
2017-01-01,1013901131,C,4,P
2017-01-01,1013902006,C,3,P
2017-01-01,1568468544,M,2,P
2017-01-01,1568423465,M,3,P
2017-01-01,1588977391,M,5,P
2017-01-01,1619954286,M,1,P
2017-01-01,1619956596,M,1,P
2017-01-01,1619977238,M,1,P
2017-01-01,1659399624,M,2,P
2017-01-01,1659313559,M,1,P
2017-01-01,1003031212,C,3,P
2017-01-01,1649591660,M,1,P
2017-01-01,1649450099,M,1,P
2017-01-01,1003087768,C,1,P
2017-01-01,1649439076,M,3,P
2017-01-01,1649405473,M,1,P
2017-01-01,1649278870,M,2,P
2017-01-01,1649275355,M,1,P
2017-01-01,1649219452,M,1,P
2017-01-01,1639490469,M,2,P
2017-01-01,1639359714,M,4,P
2017-01-01,1639270440,M,1,P
2017-01-01,1003808288,C,2,P
2017-01-01,1639263940,M,1,P
2017-01-01,1639195704,M,3,P
2017-01-01,1003852732,C,1,P
2017-01-01,1639143795,M,1,P
2017-01-01,1639132962,M,2,P
2017-01-01,1003882432,C,5,P
2017-01-01,1629164678,M,3,P
2017-01-01,1629066220,M,1,P
2017-01-01,1659476430,M,1,P
2017-01-01,1336253186,M,1,P
2017-01-01,1336130046,M,1,P
2017-01-01,1336115542,M,1,P
2017-01-01,1033192570,M,1,P
2017-01-01,1033123195,M,5,P
2017-01-01,1033103155,M,2,P
2017-01-01,1023362456,M,1,P
2017-01-01,1093850745,C,10,P
2017-01-01,1023082088,M,3,P
2017-01-01,1023034261,M,5,P
2017-01-01,1104025154,C,6,P
2017-01-01,1013987239,M,1,P
2017-01-01,1013911668,M,1,P
2017-01-01,1043203318,M,2,P
2017-01-01,1013196989,M,3,P
2017-01-01,1013159540,M,2,P
2017-01-01,1013128792,M,1,P
2017-01-01,1104805498,C,1,P
2017-01-01,1003991035,M,3,P
2017-01-01,1003852674,M,5,P
2017-01-01,1003128703,M,1,P
2017-01-01,1003127135,M,1,P
2017-01-01,1003076522,M,3,P
2017-01-01,1003050972,M,1,P
2017-01-01,1104883305,C,4,P
2017-01-01,1013174101,M,3,P
2017-01-01,1043205313,M,3,P
2017-01-01,1093767493,C,1,P
2017-01-01,1043631773,M,13,P
2017-01-01,1093918617,M,3,P
2017-01-01,1093781411,M,1,P
2017-01-01,1093745341,M,1,P
2017-01-01,1093721623,M,2,P
2017-01-01,1093036113,M,1,P
2017-01-01,1093034746,M,2,P
2017-01-01,1093030215,M,1,P
2017-01-01,1083935456,M,4,P
2017-01-01,1083846331,M,1,P
2017-01-01,1083679468,M,1,P
2017-01-01,1083608285,M,3,P
2017-01-01,1073808382,M,2,P
2017-01-01,1073530432,M,1,P
2017-01-01,1093709297,C,1,P
2017-01-01,1063732105,M,3,P
2017-01-01,1063707958,M,2,P
2017-01-01,1063588937,M,2,P
2017-01-01,1063558682,M,1,P
2017-01-01,1063494953,M,2,P
2017-01-01,1063478766,M,2,P
2017-01-01,1093761280,C,1,P
2017-01-01,1053432856,M,1,P
2017-01-01,1053361253,M,1,P
2017-01-01,1104924232,C,3,P
2017-01-01,1093933467,M,1,P
